sale_id,product_name,category,size,unit_price,units_sold,sale_date,store_location
INST-5056,Croissant,Food,Regular,3.75,3,2024-01-20,Mall
INST-5057,Latte,Beverages,Large,4.75,2,2024-01-20,Airport
INST-5058,Chocolate Chip Cookie,Food,Regular,2.25,5,2024-01-20,Downtown
INST-5059,Cappuccino,Beverages,Medium,4.25,1,2024-01-20,Mall
INST-5060,Blueberry Muffin,Food,Regular,3.25,2,2024-01-20,Airport
INST-5061,Cold Brew,Beverages,Large,4.50,3,2024-01-20,Downtown
INST-5062,Turkey Sandwich,Food,Regular,8.99,2,2024-01-20,Mall
INST-5063,Green Tea,Beverages,Small,3.25,4,2024-01-20,Airport
INST-5064,Caramel Macchiato,Beverages,Medium,5.75,2,2024-01-20,Downtown
INST-5065,Bagel with Cream Cheese,Food,Regular,4.75,1,2024-01-21,Mall
INST-5066,Double Espresso,Beverages,Small,3.50,2,2024-01-21,Airport
INST-5067,Chocolate Croissant,Food,Regular,4.25,1,2024-01-21,Downtown
INST-5068,Iced Latte,Beverages,Large,5.25,3,2024-01-21,Mall
INST-5069,Ham and Cheese Panini,Food,Regular,9.25,1,2024-01-21,Airport
INST-5070,Matcha Latte,Beverages,Medium,5.50,2,2024-01-21,Downtown
INST-5071,Oatmeal Cookie,Food,Regular,2.75,4,2024-01-21,Mall
INST-5072,Americano,Beverages,Large,4.00,2,2024-01-21,Airport
INST-5073,Vanilla Scone,Food,Regular,3.50,3,2024-01-21,Downtown
INST-5074,Mocha Frappe,Beverages,Large,6.75,1,2024-01-21,Mall
INST-5075,Chicken Caesar Wrap,Food,Regular,8.50,2,2024-01-21,Airport
